Date,Country/Region,Number of confirmed cases
4/1/20,France,56362
4/2/20,France,58404
4/3/20,France,63588
4/4/20,France,46483
4/5/20,France,47299
4/6/20,France,49934
4/7/20,France,46400
4/8/20,France,50242
4/9/20,France,54003
4/10/20,France,55538
4/11/20,France,56972
4/12/20,France,107712
4/13/20,France,110836
4/14/20,France,128272
4/15/20,France,131476
4/16/20,France,144035
4/17/20,France,145896
4/18/20,France,149683
4/19/20,France,150752
4/20/20,France,153197
4/21/20,France,155821
4/22/20,France,157603
4/23/20,France,155881
4/24/20,France,158653
4/25/20,France,160295
4/26/20,France,160907
4/27/20,France,164592
4/28/20,France,167650
4/29/20,France,166193
4/30/20,France,167326
5/1/20,France,167846
4/1/20,Italy,110574
4/2/20,Italy,115242
4/3/20,Italy,119827
4/4/20,Italy,124632
4/5/20,Italy,128948
4/6/20,Italy,132547
4/7/20,Italy,135586
4/8/20,Italy,139422
4/9/20,Italy,143626
4/10/20,Italy,147577
4/11/20,Italy,152271
4/12/20,Italy,156363
4/13/20,Italy,159516
4/14/20,Italy,162488
4/15/20,Italy,165155
4/16/20,Italy,168941
4/17/20,Italy,172434
4/18/20,Italy,175925
4/19/20,Italy,178972
4/20/20,Italy,181228
4/21/20,Italy,183957
4/22/20,Italy,187327
4/23/20,Italy,189973
4/24/20,Italy,192994
4/25/20,Italy,195351
4/26/20,Italy,197675
4/27/20,Italy,199414
4/28/20,Italy,201505
4/29/20,Italy,203591
4/30/20,Italy,205463
5/1/20,Italy,207428
4/1/20,US,227903
4/2/20,US,260183
4/3/20,US,292630
4/4/20,US,324340
4/5/20,US,353117
4/6/20,US,385110
4/7/20,US,415256
4/8/20,US,446500
4/9/20,US,482526
4/10/20,US,516707
4/11/20,US,545693
4/12/20,US,571551
4/13/20,US,598794
4/14/20,US,627306
4/15/20,US,653669
4/16/20,US,683351
4/17/20,US,716508
4/18/20,US,743857
4/19/20,US,768888
4/20/20,US,799531
4/21/20,US,825478
4/22/20,US,855445
4/23/20,US,887523
4/24/20,US,919014
4/25/20,US,949640
4/26/20,US,975537
4/27/20,US,1000230
4/28/20,US,1024834
4/29/20,US,1051643
4/30/20,US,1081150
5/1/20,US,1115972
4/1/20,Vietnam,218
4/2/20,Vietnam,233
4/3/20,Vietnam,237
4/4/20,Vietnam,240
4/5/20,Vietnam,241
4/6/20,Vietnam,245
4/7/20,Vietnam,249
4/8/20,Vietnam,251
4/9/20,Vietnam,255
4/10/20,Vietnam,257
4/11/20,Vietnam,258
4/12/20,Vietnam,262
4/13/20,Vietnam,265
4/14/20,Vietnam,266
4/15/20,Vietnam,267
4/16/20,Vietnam,268
4/17/20,Vietnam,268
4/18/20,Vietnam,268
4/19/20,Vietnam,268
4/20/20,Vietnam,268
4/21/20,Vietnam,268
4/22/20,Vietnam,268
4/23/20,Vietnam,268
4/24/20,Vietnam,270
4/25/20,Vietnam,270
4/26/20,Vietnam,270
4/27/20,Vietnam,270
4/28/20,Vietnam,270
4/29/20,Vietnam,270
4/30/20,Vietnam,270
5/1/20,Vietnam,270
