province,cases
Hà Nội,1629249
Hồ Chí Minh,621186
Hải Phòng,531466
Nghệ An,499347
Bắc Giang,389824
Vĩnh Phúc,372384
Hải Dương,368519
Quảng Ninh,351925
Bắc Ninh,349781
Thái Nguyên,342011
Phú Thọ,327233
Bình Dương,323117
Nam Định,298679
Thái Bình,296287
Hưng Yên,242086
Hòa Bình,238718
Lào Cai,187551
Thanh Hóa,173948
Đắk Lắk,171028
Lạng Sơn,159830
Yên Bái,154164
Sơn La,152808
Cà Mau,146921
Tuyên Quang,145915
Tây Ninh,139120
Bình Định,138915
Quảng Bình,128341
Hà Giang,122599
Khánh Hòa,120198
Bình Phước,119375
Bà Rịa - Vũng Tàu,108965
Đồng Nai,107223
Đà Nẵng,105373
Vĩnh Long,102091
Ninh Bình,101426
Bến Tre,98434
Cao Bằng,97730
Lâm Đồng,95248
Điện Biên,89821
Hà Nam,88324
Quảng Trị,85495
Cần Thơ,76544
Bắc Kạn,76054
Lai Châu,75150
Trà Vinh,74841
Đắk Nông,73427
Gia Lai,70484
Hà Tĩnh,54585
Bình Thuận,53337
Đồng Tháp,50918
Quảng Ngãi,49800
Long An,49423
Quảng Nam,49293
Thừa Thiên Huế,47537
Bạc Liêu,46594
Phú Yên,43640
An Giang,42774
Kiên Giang,41443
Tiền Giang,37020
Sóc Trăng,34388
Kon Tum,26262
Hậu Giang,17508
Ninh Thuận,8725
